Material,Ms (MA/m),Aex (pJ/m),Ku (MJ/m3),Hc (T)
(Fe0.91Co0.09)2P0.89Si0.11∗,0.716,13.332,0.86,0.014
(Fe0.91Co0.09)2P0.86Si0.14∗,0.732,13.913,0.89,0.008
(Fe0.91Co0.09)2P0.81Si0.19∗,0.763,14.835,1.09,0.004
(Fe0.92Co0.08)2P0.78Si0.22∗,0.803,16.419,0.93,0.002
(Fe0.91Co0.09)2P0.74Si0.26∗,0.38,11.0,0.33,0.47
Co,0.371,5.723,0.274,0.392
Fe,0.303,5.868,0.287,0.432
Fe70Co30,0.362,5.478,0.334,0.583
Fe60Co20B20,0.42,6.1,0.31,0.503
Co93Gd7,0.415,5.999,0.293,0.45
Co80Gd20,0.465,5.716,0.302,0.476
CoFe2O4,0.434,5.706,0.298,0.465
CoEu0.03Fe1.97O4,0.451,5.489,0.28,0.409
CoEu0.06Fe1.94O4,0.391,6.238,0.281,0.413
CoEu0.09Fe1.91O4,0.331,6.099,0.265,0.366
CoEu0.12Fe1.88O4,0.35,5.976,0.254,0.338
BaFe12O19,0.326,5.677,0.215,0.241
SrFe12O19,0.267,5.894,0.253,0.335
Sr0.7La0.3Fe12O19,0.272,5.898,0.251,0.329
SrLaFexCoxAlxO0.2,0.283,5.9,0.255,0.339
SrLaFexCoxAlxO0.4,0.278,5.839,0.306,0.488
SrLaFexCoxAlxO0.6,0.289,5.284,0.303,0.481
SrLaFexCoxAlxO0.8,0.3,5.288,0.268,0.376
Sr0.7Pr0.3Fe12O19,0.192,5.279,0.293,0.449
SrPrFexCoxAlxO0.2,0.293,5.284,0.257,0.345
SrPrFexCoxAlxO0.4,0.318,5.291,0.21,0.23
SrPrFexCoxAlxO0.6,0.265,4.906,0.288,0.434
SrPrFexCoxAlxO0.8,0.273,5.426,0.287,0.431
BaFe12O19-B,0.323,5.424,0.285,0.426
Al900,0.4,5.693,0.218,0.248
Al950,0.398,5.684,0.228,0.272
Al1000,0.387,5.653,0.231,0.28
Bi900,0.364,5.646,0.221,0.256
Bi950*,0.201,6.0,0.34,0.322
Bi1000*,0.144,5.969,0.267,0.253
Cr900*,0.111,5.945,0.214,0.203
Cr950*,0.07,5.911,0.139,0.132
Cr1000*,0.05,5.895,0.838,0.793
Mn900*,0.036,5.868,0.086,0.081
Mn950*,0.232,5.215,0.34,0.329
Mn1000*,0.201,4.268,0.377,0.404
Sr1−xNdxFe12O190.0∗,0.19,3.796,0.421,0.503
Sr1−xNdxFe12O190.05∗,0.164,2.769,0.459,0.6
Sr1−xNdxFe12O190.1∗,0.159,2.216,0.508,0.734
Sr1−xNdxFe12O190.15∗,0.292,0.413,0.462,0.608
BaFe12O19-C,0.308,0.338,0.416,0.492
BaFe12−2xAlxCrxO190,0.332,0.411,0.284,0.23
BaFe12−2xAlxCrxO190.2,0.334,0.276,0.274,0.213
BaFe12−2xAlxCrxO190.4,0.328,0.304,0.216,0.133
BaFe12−2xAlxCrxO190.6,0.294,0.295,0.197,0.11
BaFe12−2xAlxCrxO190.8,0.369,5.7,0.497,0.704
BaFe12−2xAlxCrxO191,0.371,5.7,0.507,0.731
SrCrxFe12−xO190,0.37,5.71,0.516,0.758
SrCrxFe12−xO190.3,0.375,5.71,0.522,0.775
SrCrxFe12−xO190.5,0.373,5.71,0.526,0.788
SrCrxFe12−xO190.7,0.366,5.71,0.512,0.747
SrCrxFe12−xO190.9,0.358,5.71,0.51,0.742
SrCoxZrxFe12−2xO190,0.342,5.71,0.509,0.739
SrCoxZrxFe12−2xO190.2,0.306,5.71,0.502,0.718
SrCoxZrxFe12−2xO190.4,0.358,6.0,0.183,0.096
SrCoxZrxFe12−2xO190.6,0.365,5.7,0.121,0.042
SrCoxZrxFe12−2xO190.8,0.358,5.4,0.028,0.04
SrCoxZrxFe12−2xO191,0.34,5.1,0.067,0.097
Sr0.75−xLa0.25CaxFeCoO0,0.323,4.8,0.066,0.097
Sr0.75−xLa0.25CaxFeCoO0.05,0.309,4.5,0.087,0.129
Sr0.75−xLa0.25CaxFeCoO0.1,0.369,5.7,0.41,0.273
Sr0.75−xLa0.25CaxFeCoO0.15,0.369,5.13,0.424,0.298
Sr0.75−xLa0.25CaxFeCoO0.2,0.363,4.85,0.412,0.328
Sr0.75−xLa0.25CaxFeCoO0.25,0.356,4.56,0.408,0.352
Sr0.75−xLa0.25CaxFeCoO0.3,0.348,4.28,0.403,0.375
Sr0.75−xLa0.25CaxFeCoO0.4,0.347,3.99,0.405,0.405
Sr0.75−xLa0.25CaxFeCoO0.6,0.354,5.7,0.382,0.247
SrCaLax0,0.357,5.13,0.422,0.342
SrCaLax0.1,0.361,4.85,0.415,0.318
SrCaLax0.2,0.351,4.56,0.414,0.336
SrCaLax0.3,0.349,4.28,0.411,0.367
SrCaLax0.4,0.35,3.99,0.409,0.415
SrCaLax0.5,0.343,5.884,0.297,0.652
Sr1−xLaxFe12−xCoxO19-del-sin0,0.333,5.822,0.291,0.726
Sr1−xLaxFe12−xCoxO19-del-sin0.1,0.33,5.753,0.292,0.77
Sr1−xLaxFe12−xCoxO19-del-sin0.15,0.325,5.696,0.292,0.78
Sr1−xLaxFe12−xCoxO19-del-sin0.2,0.32,5.626,0.289,0.804
Sr1−xLaxFe12−xCoxO19-del-sin0.25,0.302,5.556,0.288,0.755
Sr1−xLaxFe12−xCoxO19-del-sin0.3,0.274,5.487,0.289,0.662
Sr1−xLaxFe12−xCoxO19-del-ane0,0.308,6.0,0.313,0.203
Sr1−xLaxFe12−xCoxO19-del-ane0.1,0.293,0.908,0.279,0.19
Sr1−xLaxFe12−xCoxO19-del-ane0.15,0.279,23.752,0.151,0.108
Sr1−xLaxFe12−xCoxO19-del-ane0.2,0.28,6.409,0.108,0.077
Sr1−xLaxFe12−xCoxO19-del-ane0.25,0.287,6.89,0.122,0.085
Sr1−xLaxFe12−xCoxO19-del-ane0.3,0.295,7.179,0.138,0.093
Sr1.05−xLaxFe12−xCoxO190,0.274,5.61,0.295,0.158
Sr1.05−xLaxFe12−xCoxO190.1,0.871,4.418,0.044,0.02
Sr1.05−xLaxFe12−xCoxO190.2,0.865,4.565,0.667,0.3
Sr1.05−xLaxFe12−xCoxO190.3,0.847,4.771,2.667,1.2
Sr1.05−xLaxFe12−xCoxO190.4,0.83,4.844,4.889,2.2
Sr1.05−xLaxFe12−xCoxO190.5,0.822,4.852,4.889,2.2
Sr1.05−xLaxFe12−xCoxO190.6,0.81,4.874,3.556,1.6
Sr1−xCexFe12O190,0.86,4.823,4.0,1.8
Sr1−xCexFe12O190.05,1.034,13.8,2.5,1.208
Sr1−xCexFe12O190.1,1.098,13.4,1.6,0.728
Sr1−xCexFe12O190.15,0.708,8.3,16.5,11.649
Sr1−xCexFe12O190.2,0.652,8.0,15.1,11.57
Sr1−xCexFe12O190.25,0.604,7.7,13.5,11.161
Sr1−xCexFe12O190.3,0.557,7.4,12.0,10.771
Sm2Fe15Ga2∗,0.517,7.1,10.4,10.053
Sm2Fe14.5Cu0.5Ga2∗,0.431,9.91,3.991,1.7
Sm2Fe14.5Cu0.5Ga2C0.5∗,0.351,9.86,4.46,1.9
Sm2Fe14.5Cu0.5Ga2C1.0∗,0.344,9.89,5.634,2.4
Sm2Fe14.5Cu0.5Ga2C1.5∗,0.394,9.88,9.343,3.98
Sm2Fe14.5Cu0.5Ga2C2.0∗,0.332,10.0,10.0,4.26
Sm2Fe15Ga2C1.0,1.33,20.0,2.0,0.7
Sm2(Co0.90Fe0.1)17,0.779,12.3,9.24,2.333
Sm2(Co0.80Fe0.2)17,0.619,7.977,2.0,0.166
Sm(Co0.95Cu0.05)5,0.534,7.262,1.8,0.515
Sm(Co0.90Cu0.1)5,0.45,6.033,1.6,0.865
Sm(Co0.85Cu0.15)5,0.362,5.493,1.3,1.213
Sm(Co0.80Cu0.25)5,0.312,4.846,1.2,1.903
Sm(Co0.75Cu0.25)5,0.281,3.925,1.0,2.692
"Sm(Co0.90Cu0.1)4.8, 5",0.239,2.994,0.8,1.221
"Sm(Co0.90Cu0.1)4.8, 15",0.197,1.035,0.7,0.906
"Sm(Co0.90Cu0.1)4.8, 30",0.641,4.176,0.9,0.046
"Sm(Co0.90Cu0.1)4.8, 40",0.645,4.349,0.747,0.047
"Sm(Co0.90Cu0.1)4.8, 50",0.703,4.537,0.593,0.046
SmCoCuTi∗,0.708,4.689,0.44,0.044
Sm(CobalFe0.1Cu0.1Zr0.033)6.93*,0.76,4.794,0.286,0.046
SmCo4.5Cu0.5∗,0.971,6.284,1.2,0.047
SmCo4Cu∗,0.941,6.043,1.445,0.062
SmCo3.5Cu1.5∗,0.939,6.1,1.689,0.07
SmCo3Cu2∗,0.927,6.092,1.934,0.076
SmCo2.5Cu2.5∗,0.922,6.148,2.178,0.091
SmCo2Cu3∗,0.909,6.171,2.912,0.1
SmCoCu4∗,0.324,3.942,1.04,0.057
"0xy1, Ce1−xNdxFe12−yMoy∗",0.438,3.973,0.06,0.05
0.2xy1∗,0.536,4.091,0.061,0.05
0.4xy1∗,0.585,4.256,0.064,0.049
0.6xy1∗,0.65,4.356,0.062,0.047
0.8xy1∗,0.681,4.49,0.07,0.041
1xy1∗,0.767,5.743,0.063,0.038
0xy1N∗,0.767,5.847,0.092,0.103
0.2xy1N∗,0.748,5.975,0.118,0.152
0.4xy1N∗,0.724,5.944,0.132,0.198
0.6xy1N∗,0.699,5.962,0.142,0.248
0.8xy1N∗,0.681,5.934,0.168,0.307
1xy1N∗,0.173,3.454,0.182,0.05
0xy15∗,0.187,3.592,0.037,0.04
0.2xy15∗,0.269,3.763,0.044,0.04
0.4xy15∗,0.301,3.832,0.054,0.044
0.6xy15∗,0.383,3.994,0.057,0.038
0.8xy15∗,0.48,4.211,0.061,0.037
1xy15∗,0.613,4.928,0.056,0.034
0xy15N∗,0.552,5.066,0.058,0.088
0.2xy15N∗,0.575,5.214,0.157,0.17
0.4xy15N∗,0.541,5.177,0.228,0.217
0.6xy15N∗,0.534,5.267,0.287,0.29
0.8xy15N∗,0.559,5.393,0.347,0.334
1xy15N∗,0.161,6.6,0.419,0.135
0xy2∗,1.02,5.9,0.017,0.151
0.2xy2∗,0.251,6.13,0.015,0.162
0.4xy2∗,0.426,6.31,0.022,0.17
0.6xy2∗,0.505,6.32,0.027,0.178
0.8xy2∗,0.227,3.63,0.029,0.322
1xy2∗,0.609,12.0,0.035,0.178
0xy2N∗,0.411,5.04,0.041,0.232
0.2xy2N∗,0.401,4.95,0.097,0.31
0.4xy2N∗,0.314,9.2,0.196,0.222
0.6xy2N∗,1.122,9.37,0.235,1.499
0.8xy2N∗,1.073,9.13,0.31,1.638
1xy2N∗,0.999,8.79,0.374,1.863
Sm-Alnico-0.1,0.924,8.54,4.143,1.972
Sm-Alnico-10.7,0.826,8.3,3.789,2.018
Sm-Alnico-12,1.125,9.49,4.293,1.678
Sm-Alnico-13.3,1.087,9.33,4.653,1.882
Sm-Alnico-13.7,1.014,9.05,4.577,1.985
Sm-Alnico-16,0.93,8.72,4.448,2.102
Sm-Alnico-17,0.84,8.41,4.299,2.252
Sm-Alnico-17.6,1.144,9.62,4.675,1.798
Sm-Alnico-18.4,1.11,9.49,4.985,1.975
Sm-Alnico-19,1.048,9.34,4.898,2.056
Sm2Co16V0.2,0.961,9.13,4.883,2.235
Sm2Co16V0.4,0.865,8.95,4.871,2.477
Sm2Co16V0.6,1.121,9.63,3.981,1.562
Sm2Co16V0.8,1.069,9.59,3.789,1.559
Sm2Co16V1,0.983,9.48,3.521,1.575
Sm2Co16Ti0.2,0.887,9.36,3.5,1.735
Sm2Co16Ti0.3,0.887,9.36,3.5,1.735
Sm2Co16Ti0.4,0.887,9.36,3.5,1.735
Sm2Co16Ti0.5,0.887,9.36,3.5,1.735
Sm2Co16Ti0.6,0.887,9.36,3.5,1.735
Sm2Co16Ti0.7,0.887,9.36,3.5,1.735
Sm2Co16Ti0.8,0.887,9.36,3.5,1.735
Sm2Co16Ti0.9,0.887,9.36,3.5,1.735
Sm2Co16Ti0.10,0.887,9.36,3.5,1.735
Sm2Co16Ti0.11,0.887,9.36,3.5,1.735
Sm2Co16Ti0.12,0.887,9.36,3.5,1.735
Sm2Co16Ti0.13,0.887,9.36,3.5,1.735
Sm2Co16Ti0.14,0.887,9.36,3.5,1.735
Sm2Co16Hf0.8∗,0.95,8.64,4.219,0.67
Sm2Co16Hf1.0∗,0.885,8.49,4.253,0.911
Ce2Co17∗,0.698,8.06,4.461,1.298
Ce2Co16Cu1∗,0.972,8.78,4.8,0.468
Ce2Co16V0.2*,0.918,8.7,5.973,0.582
Ce2Co16V0.4*,0.828,8.56,6.058,0.735
Ce2Co16V0.6*,0.614,8.32,6.812,1.043
Ce2Co16V1.0*,0.949,7.94,1.1,0.526
Ce2Co16Ti0.2,0.899,7.03,1.471,0.703
Ce2Co16Ti0.3,0.827,5.89,1.234,0.789
Ce2Co16Ti0.6,0.755,4.47,1.02,0.731
Ce2Co16Ti1.0,0.928,7.55,0.983,0.654
Ce2Co16Zr0.2,0.886,5.93,1.137,0.676
Ce2Co16Zr0.4,0.737,4.66,0.828,0.509
Ce2Co16Zr0.6,0.513,3.14,1.2,0.427
Ce2Co16Zr1.0,0.993,8.84,1.183,0.42
Ce2Co16Hf0.2,1.018,8.74,1.377,0.482
Ce2Co16Hf0.4,1.037,8.6,1.123,0.452
Ce2Co16Hf0.6,1.059,8.44,1.169,0.44
Ce2Co16Hf1.0,1.081,8.19,1.116,0.409
Ce2Co16Cr0.2,1.101,7.92,1.1,0.375
Ce2Co16Cr0.5,1.118,7.33,1.068,0.334
Ce2Co16Cr1.5,1.138,6.66,1.128,0.314
Ce2Co16Cr2.0,1.138,6.66,1.128,0.314
